CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.002   0             0              0
    0.004   0             0.037161       0.152862
    0.006   0             0.0743219      0.214855
    0.008   0             0.111483       0.261538
    0.01    0             0.148644       0.300165
    0.012   0             0.185805       0.333569
    0.014   0             0.222966       0.363211
    0.016   0             0.260127       0.389967
    0.018   0             0.297288       0.414412
    0.02    0             0.334449       0.436949
    0.022   0             0.37161        0.457872
    0.024   0             0.408771       0.477406
    0.026   0             0.445931       0.495727
    0.028   0             0.483092       0.512975
    0.03    0             0.520253       0.529266
    0.032   0             0.557414       0.544696
    0.034   0             0.594575       0.559345
    0.036   0             0.631736       0.573281
    0.038   0             0.668897       0.586564
    0.04    0             0.706058       0.599244
    0.042   0             0.743219       0.611368
    0.044   0             0.78038        0.622975
    0.046   0             0.817541       0.6341
    0.048   0             0.854702       0.644774
    0.05    0             0.891863       0.655027
    0.052   0             0.929024       0.664883
    0.054   0             0.966185       0.674367
    0.056   0             1.00335        0.683498
    0.058   0             1.04051        0.692296
    0.06    0             1.07767        0.70078
    0.062   0             1.11483        0.708965
    0.064   0             1.15199        0.716867
    0.066   0             1.18915        0.724499
    0.068   0             1.22631        0.731874
    0.07    0             1.26347        0.739005
    0.072   0             1.30063        0.745902
    0.074   0             1.33779        0.752577
    0.076   0             1.37496        0.759038
    0.078   0             1.41212        0.765295
    0.08    0             1.44928        0.771356
    0.082   0             1.48644        0.77723
    0.084   0             1.5236         0.782924
    0.086   0             1.56076        0.788446
    0.088   0             1.59792        0.793802
    0.09    0             1.63508        0.798998
    0.092   0             1.67224        0.804042
    0.094   0             1.7094         0.808937
    0.096   0             1.74657        0.813691
    0.098   0             1.78373        0.818308
    0.1     0             1.82089        0.822792
    0.102   0             1.85805        0.82715
    0.104   0             1.89521        0.831384
    0.106   0             1.93237        0.835501
    0.108   0             1.96953        0.839502
    0.11    0             2.00669        0.843394
    0.112   0             2.04385        0.847178
    0.114   0             2.08101        0.850859
    0.116   0             2.11817        0.85444
    0.118   0             2.15534        0.857925
    0.12    0             2.1925         0.861316
    0.122   0             2.22966        0.864616
    0.124   0             2.26682        0.867829
    0.126   0             2.30398        0.870957
    0.128   0             2.34114        0.874003
    0.13    0             2.3783         0.876969
    0.132   0             2.41546        0.879858
    0.134   0             2.45262        0.882671
    0.136   0             2.48978        0.885413
    0.138   0             2.52695        0.888083
    0.14    0             2.56411        0.890686
    0.142   0             2.60127        0.893222
    0.144   0             2.63843        0.895693
    0.146   0             2.67559        0.898102
    0.148   0             2.71275        0.900451
    0.15    0             2.74991        0.90274
    0.152   0             2.78707        0.904972
    0.154   0             2.82423        0.907149
    0.156   0             2.86139        0.909271
    0.158   0             2.89855        0.911341
    0.16    0             2.93572        0.91336
    0.162   0             2.97288        0.915329
    0.164   0             3.01004        0.91725
    0.166   0             3.0472         0.919123
    0.168   0             3.08436        0.920952
    0.17    0             3.12152        0.922735
    0.172   0             3.15868        0.924476
    0.174   0             3.19584        0.926174
    0.176   0             3.233          0.927832
    0.178   0             3.27016        0.929449
    0.18    0             3.30733        0.931028
    0.182   0             3.34449        0.932569
    0.184   0             3.38165        0.934074
    0.186   0             3.41881        0.935542
    0.188   0             3.45597        0.936976
    0.19    0             3.49313        0.938376
    0.192   0             3.53029        0.939743
    0.194   0             3.56745        0.941077
    0.196   0             3.60461        0.942381
    0.198   0             3.64177        0.943653
    0.2     0             3.67893        0.944896
    0.202   0             3.7161         0.94611
    0.204   0             3.75326        0.947295
    0.206   0             3.79042        0.948453
    0.208   0             3.82758        0.949584
    0.21    0             3.86474        0.950689
    0.212   0             3.9019         0.951768
    0.214   0             3.93906        0.952823
