CHISQcheck_ratioPRF

Command line: -o LowQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 50 -q 50

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.002   0             0              0
    0.004   0             0.0888062      0.2343
    0.006   0             0.177612       0.326567
    0.008   0             0.266419       0.394256
    0.01    0             0.355225       0.44883
    0.012   0             0.444031       0.494817
    0.014   0             0.532837       0.534584
    0.016   0             0.621644       0.569563
    0.018   0             0.71045        0.600705
    0.02    0             0.799256       0.628684
    0.022   0             0.888062       0.653997
    0.024   0             0.976868       0.677027
    0.026   0             1.06567        0.698076
    0.028   0             1.15448        0.717387
    0.03    0             1.24329        0.735162
    0.032   0             1.33209        0.751567
    0.034   0             1.4209         0.766745
    0.036   0             1.50971        0.780816
    0.038   0             1.59851        0.793886
    0.04    0             1.68732        0.806045
    0.042   0             1.77612        0.817374
    0.044   0             1.86493        0.827943
    0.046   0             1.95374        0.837815
    0.048   0             2.04254        0.847046
    0.05    0             2.13135        0.855686
    0.052   0             2.22016        0.863781
    0.054   0             2.30896        0.87137
    0.056   0             2.39777        0.878491
    0.058   0             2.48657        0.885179
    0.06    0             2.57538        0.891462
    0.062   0             2.66419        0.89737
    0.064   0             2.75299        0.902927
    0.066   0             2.8418         0.908159
    0.068   0             2.93061        0.913085
    0.07    0             3.01941        0.917727
    0.072   0             3.10822        0.922102
    0.074   0             3.19702        0.926228
    0.076   0             3.28583        0.93012
    0.078   0             3.37464        0.933793
    0.08    0             3.46344        0.93726
    0.082   0             3.55225        0.940535
    0.084   0             3.64105        0.943629
    0.086   0             3.72986        0.946552
    0.088   0             3.81867        0.949315
    0.09    0             3.90747        0.951928
    0.092   0             3.99628        0.954399
    0.094   0             4.08509        0.956737
    0.096   0             4.17389        0.958949
    0.098   0             4.2627         0.961042
    0.1     0             4.3515         0.963024
    0.102   0             4.44031        0.9649
    0.104   0             4.52912        0.966677
    0.106   0             4.61792        0.96836
    0.108   0             4.70673        0.969955
    0.11    0             4.79554        0.971466
    0.112   0             4.88434        0.972899
    0.114   0             4.97315        0.974256
    0.116   0             5.06195        0.975543
    0.118   0             5.15076        0.976764
    0.12    0             5.23957        0.977921
    0.122   0             5.32837        0.979019
    0.124   0             5.41718        0.98006
    0.126   0             5.50599        0.981049
    0.128   0             5.59479        0.981986
    0.13    0             5.6836         0.982876
    0.132   0             5.7724         0.98372
    0.134   0             5.86121        0.984522
    0.136   0             5.95002        0.985283
    0.138   0             6.03882        0.986005
    0.14    0             6.12763        0.986691
    0.142   0             6.21644        0.987343
    0.144   0             6.30524        0.987962
    0.146   0             6.39405        0.98855
    0.148   0             6.48285        0.989108
    0.15    0             6.57166        0.989638
    0.152   0             6.66047        0.990142
    0.154   0             6.74927        0.990621
    0.156   0             6.83808        0.991077
    0.158   0             6.92688        0.991509
    0.16    0             7.01569        0.99192
    0.162   0             7.1045         0.992311
    0.164   0             7.1933         0.992682
    0.166   0             7.28211        0.993036
    0.168   0             7.37092        0.993371
    0.17    0             7.45972        0.993691
    0.172   0             7.54853        0.993994
    0.174   0             7.63733        0.994283
    0.176   0             7.72614        0.994557
    0.178   0             7.81495        0.994818
    0.18    0             7.90375        0.995067
    0.182   0             7.99256        0.995303
    0.184   0             8.08137        0.995528
    0.186   0             8.17017        0.995742
    0.188   0             8.25898        0.995945
    0.19    0             8.34778        0.996138
    0.192   0             8.43659        0.996323
    0.194   0             8.5254         0.996498
    0.196   0             8.6142         0.996664
    0.198   0             8.70301        0.996823
    0.2     0             8.79182        0.996974
    0.202   0             8.88062        0.997118
    0.204   0             8.96943        0.997255
    0.206   0             9.05823        0.997385
    0.208   0             9.14704        0.997509
    0.21    0             9.23585        0.997627
    0.212   0             9.32465        0.997739
    0.214   0             9.41346        0.997846
    0.216   0             9.50227        0.997948
    0.218   0             9.59107        0.998045
    0.22    0             9.67988        0.998137
    0.222   0             9.76868        0.998225
    0.224   0             9.85749        0.998309
    0.226   0             9.9463         0.998388
    0.228   0            10.0351         0.998464
    0.23    0            10.1239         0.998536
    0.232   0            10.2127         0.998605
