ratio PRF

Command line: -o HiQ -y roc -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: 0.699024
         chi2    prob    TruePosRate    FalsePosRate
inf            0               0               0
 19.5114       1e-05           0.528           0
 18.1893       2e-05           0.56            0
 16.4481       5e-05           0.632           0.004
 15.1367       0.0001          0.656           0.004
 13.8311       0.0002          0.704           0.004
 12.1157       0.0005          0.84            0.016
 10.8276       0.001           0.86            0.024
  9.54954      0.002           0.888           0.028
  7.87944      0.005           0.972           0.06
  6.6349       0.01            0.984           0.072
  5.41189      0.02            1               0.124
  3.84146      0.05            1               0.196
  2.70554      0.1             1               0.28
  0.454936     0.5             1               0.624
  0.0157908    0.9             1               0.696
  0.000157088  0.99            1               0.708
  3.92704e-05  0.995           1               0.708
  1.5708e-06   0.999           1               0.708
  0            1               1               0.708
