ratio PRF

Command line: -o LowQ -y roc -b -f -k 500 -n 100 -s 1 -p 50 -q 50

AUC: 0.5759839999999999
         chi2    prob    TruePosRate    FalsePosRate
inf            0               0               0
 19.5114       1e-05           0.196           0.024
 18.1893       2e-05           0.204           0.024
 16.4481       5e-05           0.24            0.032
 15.1367       0.0001          0.272           0.036
 13.8311       0.0002          0.324           0.036
 12.1157       0.0005          0.376           0.044
 10.8276       0.001           0.428           0.06
  9.54954      0.002           0.516           0.076
  7.87944      0.005           0.64            0.096
  6.6349       0.01            0.696           0.124
  5.41189      0.02            0.8             0.164
  3.84146      0.05            0.856           0.224
  2.70554      0.1             0.916           0.276
  0.454936     0.5             0.968           0.444
  0.0157908    0.9             0.988           0.568
  0.000157088  0.99            0.988           0.676
  3.92704e-05  0.995           0.988           0.676
  1.5708e-06   0.999           0.988           0.676
  0            1               0.992           0.688
